trial,item_fr,item_eng
1,Je me sens mentalement fatigué·e après cette tâche.,I feel mentally fatigued after completing this task.
2,Je me suis senti·e motivé·e à accomplir cette tâche.,I felt motivated to accomplish this task.
3,"Cette tâche m'a demandé un effort mental important (réflexion, décision, mémoire, etc).","This task required mental effort (thinking, decision-making, memory, etc.)."
4,"Cette tâche m'a demandé un effort physique important (appuyer, contrôler, activer, etc).","This task required physical effort (pressing, controlling, activating, etc.)."
5,J’ai ressenti du stress pendant la tâche.,I felt stressed during the task.
6,Je suis resté·e concentré·e sur la tâche pendant toute sa durée.,I remained focused on the task throughout its duration.
7,"J'ai ressenti des émotions négatives pendant la tâche (frustration, colère, tristesse, etc.).","I felt negative emotions during the task (frustration, anger, sadness, etc.)."
8,"J'ai ressenti des émotions positives pendant la tâche (joie, sentiment d'accomplissement, plaisir, etc.).","I felt positive emotions during the task (joy, accomplishment, a sense of reward, pleasure, etc.)."
9,"Je me suis senti·e complètement immergé·e dans la tâche, perdant la notion du temps.","I felt completely immersed in the task, losing track of time."
10,"En tenant compte de mes capacités cognitives, je pense avoir accompli cette tâche du mieux possible.","Considering my cognitive abilities, I think I accomplished this task as best as possible."
