# OpenMATB scenario generator

# Name: high_load
# Date: 09/10/2024 14:18:34

# Block n° 1. Technical load = 85.0 %

# Start tasks
0:00:00;track;start
0:00:00;sysmon;start
0:00:00;communications;start
0:00:00;resman;start
0:00:00;labstreaminglayer;start
0:00:00;labstreaminglayer;MPH_send_markers;start_hard_MATB

# Parameters
0:00:00;track;joystickforce;2
0:00:00;track;targetproportion;0.2
0:00:00;communications;voicegender;male
0:00:00;communications;airbandminvariationMhz;1
0:00:00;communications;airbandmaxvariationMhz;3
0:00:00;communications;othercallsign;T142
0:00:00;communications;othercallsign;K316
0:00:00;communications;owncallsign;O245
0:00:00;communications;keys-selectradioup;JOY_HAT_UP
0:00:00;communications;keys-selectradiodown;JOY_HAT_DOWN
0:00:00;communications;keys-tunefrequencyup;JOY_HAT_RIGHT
0:00:00;communications;keys-tunefrequencydown;JOY_HAT_LEFT
0:00:00;resman;pump-1-key;_1
0:00:00;resman;pump-2-key;_2
0:00:00;resman;pump-3-key;_3
0:00:00;resman;pump-4-key;_4
0:00:00;resman;pump-5-key;_5
0:00:00;resman;pump-6-key;_6
0:00:00;resman;pump-7-key;_7
0:00:00;resman;pump-8-key;_8
0:00:00;resman;tank-a-lossperminute;3200
0:00:00;resman;tank-b-lossperminute;2000
0:00:00;resman;pump-1-flow;4000
0:00:00;resman;pump-2-flow;2000
0:00:00;resman;pump-3-flow;3000
0:00:00;resman;pump-4-flow;1000
0:00:00;resman;pump-5-flow;2000
0:00:00;resman;pump-6-flow;2000
0:00:00;resman;pump-7-flow;2000
0:00:00;resman;pump-8-flow;2000

# Events
0:00:05;resman;pump-5-state;off
0:00:05;labstreaminglayer;MPH_send_markers;resman_pump-5-state_off

0:00:10;sysmon;scales-4-failure;True
0:00:10;labstreaminglayer;MPH_send_markers;sysmon_scales-4-failure_True

0:00:13;resman;pump-2-state;off
0:00:13;labstreaminglayer;MPH_send_markers;resman_pump-2-state_off

0:00:14;communications;radioprompt;own
0:00:14;labstreaminglayer;MPH_send_markers;communications_radioprompt_own

0:00:24;sysmon;lights-2-failure;True
0:00:24;labstreaminglayer;MPH_send_markers;sysmon_lights-2-failure_True

0:00:26;sysmon;scales-2-failure;True
0:00:26;labstreaminglayer;MPH_send_markers;sysmon_scales-2-failure_True

0:00:27;sysmon;scales-1-failure;True
