17.8459 	EXP 	Created window1 = Window(allowGUI=True, allowStencil=False, autoLog=True, backendConf=UNKNOWN, backgroundFit=<method-wrapper '__getattribute__' of attributeSetter object at 0x0000026A5B9BF220>, backgroundImage=<method-wrapper '__getattribute__' of attributeSetter object at 0x0000026A5B9BF1C0>, bitsMode=UNKNOWN, blendMode='avg', bpc=(8, 8, 8), color=array([0, 0, 0]), colorSpace='rgb', depthBits=8, fullscr=<method-wrapper '__getattribute__' of attributeSetter object at 0x0000026A5B9BCFD0>, gamma=None, gammaErrorPolicy='raise', infoMsg=UNKNOWN, lms=UNKNOWN, monitor=<psychopy.monitors.calibTools.Monitor object at 0x0000026A5BCCD610>, multiSample=False, name='window1', numSamples=2, pos=[0.0, 0.0], screen=0, size=array([1920, 1080]), stencilBits=0, stereo=False, title='PsychoPy', units='height', useFBO=True, useRetina=False, viewOri=0.0, viewPos=None, viewScale=None, waitBlanking=True, winType='pyglet')
17.8463 	EXP 	window1: mouseVisible = True
17.8463 	EXP 	window1: backgroundImage = ''
17.8463 	EXP 	window1: backgroundFit = 'none'
17.8466 	EXP 	window1: mouseVisible = True
17.8468 	EXP 	window1: mouseVisible = True
17.8485 	EXP 	window1: mouseVisible = True
17.8491 	EXP 	window1: mouseVisible = True
17.9224 	EXP 	window1: mouseVisible = True
17.9227 	EXP 	window1: mouseVisible = True
17.9234 	EXP 	window1: mouseVisible = True
17.9239 	EXP 	window1: mouseVisible = True
17.9562 	EXP 	window1: Attempting to measure frame rate of screen (0) ...
17.9563 	EXP 	window1: recordFrameIntervals = False
18.0993 	EXP 	window1: recordFrameIntervals = True
18.2831 	EXP 	Screen (0) actual frame rate measured at 59.98Hz
18.2832 	EXP 	window1: recordFrameIntervals = False
18.2834 	EXP 	window1: mouseVisible = False
19.6428 	EXP 	CategorySwitch: status = STARTED
19.6518 	EXP 	window1: mouseVisible = True
19.6705 	EXP 	Created instruction_text_component_introduction = TextStim(__class__=<class 'psychopy.visual.text.TextStim'>, alignHoriz=method-wrapper(...), alignText='center', alignVert=method-wrapper(...), anchorHoriz='center', anchorVert='center', antialias=True, autoDraw=False, autoLog=True, bold=False, color=array([1., 1., 1.]), colorSpace='rgb', contrast=1.0, depth=0.0, draggable=False, flipHoriz=False, flipVert=False, font='Arial', fontFiles=[], height=0.04, italic=False, languageStyle='LTR', name='instruction_text_component_introduction', opacity=1.0, ori=0, pos=array([0., 0.]), rgb=UNKNOWN, text='', units='height', win=Window(...), wrapWidth=1.5)
19.6707 	EXP 	window1: mouseVisible = True
19.6725 	EXP 	Created nametask = TextStim(__class__=<class 'psychopy.visual.text.TextStim'>, alignHoriz=method-wrapper(...), alignText='center', alignVert=method-wrapper(...), anchorHoriz='center', anchorVert='center', antialias=True, autoDraw=False, autoLog=True, bold=False, color=array([1., 1., 1.]), colorSpace='rgb', contrast=1.0, depth=-6.0, draggable=False, flipHoriz=False, flipVert=False, font='Arial', fontFiles=[], height=0.06, italic=False, languageStyle='LTR', name='nametask', opacity=1.0, ori=0.0, pos=array([0.  , 0.45]), rgb=UNKNOWN, text='', units='height', win=Window(...), wrapWidth=1)
19.6726 	EXP 	window1: mouseVisible = True
19.6738 	EXP 	Created text_practice = TextStim(__class__=<class 'psychopy.visual.text.TextStim'>, alignHoriz=method-wrapper(...), alignText='center', alignVert=method-wrapper(...), anchorHoriz='center', anchorVert='center', antialias=True, autoDraw=False, autoLog=True, bold=False, color=array([1., 1., 1.]), colorSpace='rgb', contrast=1.0, depth=-3.0, draggable=False, flipHoriz=False, flipVert=False, font='Arial', fontFiles=[], height=0.04, italic=False, languageStyle='LTR', name='text_practice', opacity=1.0, ori=0, pos=array([0., 0.]), rgb=UNKNOWN, text='', units='height', win=Window(...), wrapWidth=1.5)
19.6741 	EXP 	window1: mouseVisible = True
