block,block_n,word_n,trial,stim_fr,stim_eng,animal,color,country,fruit,body,family,cat_to_memorize1,cat_to_memorize2,cat_to_memorize3,cat_to_memorize4,cat_to_memorize5
practice,1,2,1,loup,wolf,wolf,NA,NA,NA,NA,NA,animal,body,NA,NA,NA
practice,1,2,2,bleu,blue,wolf,NA,NA,NA,NA,NA,animal,body,NA,NA,NA
practice,1,2,3,coude,elbow,wolf,NA,NA,NA,elbow,NA,animal,body,NA,NA,NA
practice,1,2,4,ours,bear,bear,NA,NA,NA,elbow,NA,animal,body,NA,NA,NA
practice,1,2,5,jambe,leg,bear,NA,NA,NA,leg,NA,animal,body,NA,NA,NA
practice,1,2,6,bras,arm,bear,NA,NA,NA,arm,NA,animal,body,NA,NA,NA
practice,1,2,7,poire,pear,bear,NA,NA,NA,arm,NA,animal,body,NA,NA,NA
practice,1,2,8,Australie,Australia,bear,NA,NA,NA,arm,NA,animal,body,NA,NA,NA
practice,1,2,9,lion,lion,lion,NA,NA,NA,arm,NA,animal,body,NA,NA,NA
practice,1,2,10,bouche,mouth,lion,NA,NA,NA,mouth,NA,animal,body,NA,NA,NA
practice,1,2,11,fraise,strawberry,lion,NA,NA,NA,mouth,NA,animal,body,NA,NA,NA
practice,1,2,12,cheval,horse,horse,NA,NA,NA,mouth,NA,animal,body,NA,NA,NA
practice,2,3,1,abricot,apricot,NA,NA,NA,apricot,NA,NA,country,fruit,body,NA,NA
practice,2,3,2,jambe,leg,NA,NA,NA,apricot,leg,NA,country,fruit,body,NA,NA
practice,2,3,3,bras,arm,NA,NA,NA,apricot,arm,NA,country,fruit,body,NA,NA
practice,2,3,4,banane,banana,NA,NA,NA,banana,arm,NA,country,fruit,body,NA,NA
practice,2,3,5,mère,mother,NA,NA,NA,banana,arm,NA,country,fruit,body,NA,NA
practice,2,3,6,pied,foot,NA,NA,NA,banana,foot,NA,country,fruit,body,NA,NA
practice,2,3,7,pomme,apple,NA,NA,NA,apple,foot,NA,country,fruit,body,NA,NA
practice,2,3,8,melon,melon,NA,NA,NA,melon,foot,NA,country,fruit,body,NA,NA
practice,2,3,9,lion,lion,NA,NA,NA,melon,foot,NA,country,fruit,body,NA,NA
practice,2,3,10,Australie,Australia,NA,NA,Australia,melon,foot,NA,country,fruit,body,NA,NA
practice,2,3,11,cheval,horse,NA,NA,Australia,melon,foot,NA,country,fruit,body,NA,NA
practice,2,3,12,soeur,sister,NA,NA,Australia,melon,foot,NA,country,fruit,body,NA,NA
