"stim_eng","stim_fr","trial","time"
"Present - Future","Présent - futur","1","30"
"Perseverance - Patience","Persévérance - Patience","2","45"
"Enzyme - Catalyst","Enzyme - Catalyseur","3","45"
"Money - Success","Argent - Succès","4","60"
"Mountain - Ocean","Montagne - Océan","5","30"
"Peace - War","Paix - Guerre","6","60"
"Symbol - Metaphor","Symbole - Métaphore","7","30"
"Voice - Identity","Voix - Identité","8","45"
"Wrist - Elbow","Poignet - Coude","9","30"
"Dawn - Dusk","Aurore - Crépuscule","10","45"
"Chaos - Order","Chaos - Ordre","11","60"
"Passion - Enthusiasm","Passion - Enthousiasme","12","45"
"Poem - Song","Poème - Chanson","13","30"
"Intelligence - Knowledge","Intelligence - Connaissance","14","45"
"Astronomy - Geology","Astronomie - Géologie","15","30"
"Breath - Life","Souffle - Vie","16","60"
"Nothingness - Void","Néant - Vide","17","30"
"GPS - Stopwatch","GPS - Chronomètre","18","45"
"Psychology - Philosophy","Psychologie - Philosophie","19","45"
"Light - Darkness","Lumière - Obscurité","20","45"
"Wave - Echo","Onde - Écho","21","30"
"Whisper - Secret","Murmure - Secret","22","30"
"Microscope - Telescope","Microscope - Télescope","23","45"
"Magnet - Battery","Aimant - Batterie","24","30"
"Virtual - Real","Virtuel - Réel","25","60"
