stim_fr,stim_eng,trial,category,time
Rugir,Roar,1,Verbe,30
Écho,Echo,2,Nom,30
Inébranlable,Unshakable,3,Adjectif,30
Pugnacité,Pugnacity,4,Nom,45
Coercitif,Coercive,5,Adjectif,60
Babiller,Babble,6,Verbe,45
Idiosyncrasique,Idiosyncratic,7,Adjectif,60
Contourner,Bypass,8,Verbe,45
Mystifier,Mystify,9,Verbe,60
Tintamarre,Clamor,10,Nom,45
Concave,Concave,11,Adjectif,45
Obnubiler,Obsession,12,Verbe,30
Somptueux,Sumptuous,13,Adjectif,30
Acolyte,Acolyte,14,Nom,45
Sollicitude,Solicitude,15,Nom,60
Authentique,Authentic,16,Adjectif,45
Recevoir,Receive,17,Verbe,45
Paroxysme,Climax,18,Nom,30
Fugace,Fleeting,19,Adjectif,60
Humilité,Humility,20,Nom,30
Nantir,Mortgage,21,Verbe,60
Vilipender,Vilify,22,Verbe,60
Magnanime,Magnanimous,23,Adjectif,60
Accalmie,Lull,24,Nom,30
