stim_eng,stim_fr,trial
book,livre,1
plane,avion,2
basket,panier,3
apple,pomme,4
peaceful,paisible,5
finish,terminer,6
glove,gant,7
colossal,colossal,8
shelter,refuge,9
mirror,miroir,10
silence,silence,11
referee,arbitre,12
vigorous,vigoureux,13
precise,précis,14
evolve,évoluer,15
courage,courage,16
copious,copieux,17
initiative,initiative,18
compassion,compassion,19
opaque,opaque,20
collusion,connivence,21
dodge,esquiver,22
remorse,remords,23
reluctant,réticent,24
solidary,solidaire,25
fearless,intrépide,26
tangible,tangible,27
pragmatic,pragmatique,28
plagiarize,plagier,29
castigate,fustiger,30
